year,best_of,player_ht,player_age,player_rank,player_rank_points,opponent_ht,opponent_age,opponent_rank,opponent_rank_points,label,month,rank_diff,age_diff,height_diff,rank_points_diff,player_is_left,opponent_is_left,rounds_remaining,surface_Clay,surface_Grass,tourney_level_A,tourney_level_F,tourney_level_G,tourney_level_M,tourney_level_O
2013,3,188.0,29.1,24.0,1490.0,185.0,26.3,46.0,897.0,0,1,-22.0,2.8000000000000007,3.0,593.0,1,0,4,False,False,True,False,False,False,False
2013,3,203.0,26.6,36.0,1065.0,188.0,31.2,42.0,1005.0,1,1,-6.0,-4.599999999999998,15.0,60.0,0,1,4,False,False,True,False,False,False,False
2013,3,188.0,31.2,42.0,1005.0,203.0,26.6,36.0,1065.0,0,1,6.0,4.599999999999998,-15.0,-60.0,1,0,4,False,False,True,False,False,False,False
2013,3,191.0,26.7,33.0,1100.0,178.0,25.6,47.0,880.0,1,1,-14.0,1.0999999999999979,13.0,220.0,0,0,4,False,False,True,False,False,False,False
2013,3,178.0,25.6,47.0,880.0,191.0,26.7,33.0,1100.0,0,1,14.0,-1.0999999999999979,-13.0,-220.0,0,0,4,False,False,True,False,False,False,False
2013,3,190.0,28.8,23.0,1560.0,183.0,23.5,191.0,259.0,1,1,-168.0,5.300000000000001,7.0,1301.0,0,0,4,False,False,True,False,False,False,False
2013,3,183.0,23.5,191.0,259.0,190.0,28.8,23.0,1560.0,0,1,168.0,-5.300000000000001,-7.0,-1301.0,0,0,4,False,False,True,False,False,False,False
2013,3,196.0,20.2,64.0,740.0,190.0,29.2,28.0,1215.0,1,1,36.0,-9.0,6.0,-475.0,0,0,4,False,False,True,False,False,False,False
2013,3,190.0,29.2,28.0,1215.0,196.0,20.2,64.0,740.0,0,1,-36.0,9.0,-6.0,475.0,0,0,4,False,False,True,False,False,False,False
2013,3,185.0,31.4,44.0,927.0,183.0,32.1,416.0,91.0,1,1,-372.0,-0.7000000000000028,2.0,836.0,1,0,4,False,False,True,False,False,False,False
2013,3,183.0,32.1,416.0,91.0,185.0,31.4,44.0,927.0,0,1,372.0,0.7000000000000028,-2.0,-836.0,0,1,4,False,False,True,False,False,False,False
2013,3,185.0,31.0,35.0,1075.0,185.0,20.6,68.0,717.0,1,1,-33.0,10.399999999999999,0.0,358.0,0,0,3,False,False,True,False,False,False,False
2013,3,185.0,20.6,68.0,717.0,185.0,31.0,35.0,1075.0,0,1,33.0,-10.399999999999999,0.0,-358.0,0,0,3,False,False,True,False,False,False,False
2013,3,203.0,26.6,36.0,1065.0,185.0,26.3,46.0,897.0,1,1,-10.0,0.3000000000000007,18.0,168.0,0,0,3,False,False,True,False,False,False,False
2013,3,185.0,26.3,46.0,897.0,203.0,26.6,36.0,1065.0,0,1,10.0,-0.3000000000000007,-18.0,-168.0,0,0,3,False,False,True,False,False,False,False
2013,3,190.0,28.8,23.0,1560.0,191.0,26.7,33.0,1100.0,1,1,-10.0,2.1000000000000014,-1.0,460.0,0,0,3,False,False,True,False,False,False,False
2013,3,191.0,26.7,33.0,1100.0,190.0,28.8,23.0,1560.0,0,1,10.0,-2.1000000000000014,1.0,-460.0,0,0,3,False,False,True,False,False,False,False
2013,3,196.0,20.2,64.0,740.0,185.0,31.4,44.0,927.0,1,1,20.0,-11.2,11.0,-187.0,0,1,3,False,False,True,False,False,False,False
2013,3,185.0,31.4,44.0,927.0,196.0,20.2,64.0,740.0,0,1,-20.0,11.2,-11.0,187.0,1,0,3,False,False,True,False,False,False,False
